SentTime, ReceivedTime
3890079,3890079,3890187,3890189,3890189,3890193,3889352,3889353,3889354,3889355,3889355,3889355,3889356,3889357,3889357,3889359,3889457,3889458,3889458,3889459,3889459,3889459,3889460,3889460,3889460,3889460,3889461,3889462,3889462,3889462,3889463,3889464,3889466,3889466,3889468,3889562,3889563,3889563,3889564,3889564,3889565,3889565,3889566,3889567,3889568,3889568,3889568,3889570,3889669,3889672,3889672
3889461,3889872,3889973,3889974,3889974,3890074,3890074,3890075,3890075,3890076,3890176,3890176,3890177,3890177,3890177,3890247,3890278,3890278,3890278,3890278,3890279,3890279,3890348,3890349,3890350,3890379,3890379,3890450,3890450,3890451,3890451,3890452,3890452,3890452,3890551,3890551,3890552,3890552,3890552,3890552,3890553,3890554,3890554,3890554,3890554,3890554,3890653,3890653,3890655,3890657,3890755
3889735,3890964,3890126,3890228,3890329,3890361,3890462,3890464,3890565,3890565,3890565,3890565,3890565,3890666,3890666,3890666,3890666,3890666,3890666,3890666,3890667,3890767,3890767,3890767,3890767,3890767,3890768,3890768,3890768,3890768,3890768,3890768,3890768,3890769,3890769,3890869,3890869,3890869,3890869,3890869,3890869,3890870,3890870,3890870,3890870,3890871,3890970,3890971,3890974,3890136,3890328
3890244,3891158,3890319,3890420,3890420,3890521,3890522,3890622,3890623,3890723,3890724,3890724,3890825,3890825,3890926,3891027,3891112,3891128,3891129,3891214,3890290,3890290,3890290,3890290,3890375,3890390,3890391,3890391,3890391,3890391,3890391,3890391,3890392,3890476,3890492,3890493,3890493,3890493,3890533,3890593,3890593,3890597,3890598,3890647,3890665,3890694,3890696,3890796,3890797,3890899,3891000
3890350,3890668,3890829,3890929,3890929,3890963,3891064,3891166,3891181,3891282,3891282,3891283,3890443,3890444,3890444,3890471,3890544,3890544,3890573,3890645,3890673,3890673,3890775,3890876,3890876,3890976,3891078,3891079,3891179,3891180,3891219,3891280,3891292,3891293,3891293,3891326,3891380,3891381,3890473,3890473,3890474,3890541,3890553,3890642,3890643,3890744,3890806,3890907,3890909,3891008,3891011
3889546,3890807,3890907,3890907,3890907,3891008,3891008,3891009,3891009,3891009,3891009,3891109,3891110,3891110,3891110,3891110,3891110,3891110,3891110,3891110,3891110,3891159,3891211,3891211,3891211,3891211,3891211,3891212,3891311,3891311,3891411,3890573,3890674,3890775,3890902,3891169,3891269,3891371,3891372,3891372,3891373,3891473,3891473,3891473,3891474,3891474,3890634,3890635,3890635,3890733,3890736
3889740,3890909,3891010,3891111,3891212,3891313,3891314,3891414,3891415,3891415,3891516,3891517,3890678,3890756,3890778,3890779,3890856,3890881,3890958,3890958,3890982,3890982,3890982,3891059,3891059,3891083,3891084,3891084,3891159,3891160,3891184,3891185,3891185,3891185,3891260,3891260,3891261,3891285,3891286,3891286,3891286,3891286,3891329,3891362,3891374,3891386,3891387,3891488,3891488,3891589,3891590
3890046,3890921,3891283,3891283,3891283,3891284,3891384,3891384,3891485,3891485,3891585,3891587,3891587,3891686,3891687,3891688,3890847,3891645,3891646,3891646,3891647,3891648,3891675,3891746,3891746,3891747,3891747,3891748,3891748,3891777,3890907,3890908,3890909,3891008,3891009,3891010,3891010,3891110,3891111,3891111,3891111,3891210,3891212,3891212,3891212,3891312,3891313,3891413,3891413,3891107,3891169
3889506,3891592,3891693,3891014,3891014,3891115,3891115,3891115,3891115,3891117,3891117,3891216,3891216,3891216,3891216,3891217,3891217,3891217,3891218,3891317,3891318,3891318,3891318,3891318,3891318,3891319,3891417,3891419,3891419,3891419,3891421,3891520,3891521,3891522,3891621,3891623,3891377,3891377,3891477,3891477,3891478,3891479,3891480,3891580,3891581,3891582,3891680,3891683,3891685,3891779,3891781
3890119,3891243,3891344,3891446,3891446,3891546,3891546,3891547,3891647,3891648,3891649,3891749,3891749,3891752,3891850,3891853,3891853,3891011,3891014,3891014,3891014,3891015,3891111,3891111,3891114,3891115,3891115,3891115,3891116,3891116,3891213,3891213,3891215,3891216,3891216,3891217,3891217,3891314,3891315,3891316,3891317,3891415,3891416,3891417,3891419,3891606,3891606,3891808,3891910,3891379,3891478
3890223,3891739,3891840,3891841,3891841,3891001,3891002,3891002,3891002,3891102,3891103,3891103,3891203,3891203,3891163,3891264,3891264,3891264,3891264,3891264,3891363,3891364,3891364,3891364,3891364,3891365,3891365,3891365,3891366,3891366,3891463,3891464,3891464,3891464,3891465,3891465,3891465,3891466,3891466,3891466,3891466,3891467,3891467,3891467,3891566,3891566,3891567,3891567,3891568,3891627,3891627
3890351,3891338,3891440,3891440,3891440,3891440,3891540,3891540,3891541,3891541,3891541,3891541,3891541,3891542,3891641,3891642,3891642,3891642,3891642,3891642,3891643,3891742,3891743,3891743,3891744,3891845,3891802,3891802,3891802,3891802,3891903,3891903,3891903,3891904,3891904,3891905,3892004,3892005,3892005,3892005,3892029,3892105,3892106,3892106,3892106,3892106,3891190,3891266,3892164,3891428,3891551
3890453,3891699,3891800,3891900,3891902,3891902,3892001,3892001,3892005,3892103,3892103,3892105,3891264,3891264,3891264,3891266,3891266,3891363,3891364,3891364,3891366,3891367,3891464,3891464,3891465,3891465,3891465,3891465,3891468,3891565,3891565,3891566,3891566,3891566,3891569,3892061,3892062,3892162,3892163,3891323,3891323,3891323,3891324,3891425,3891428,3891528,3891626,3891628,3891729,3891928,3892029
3889665,3891979,3892079,3892080,3892080,3891240,3891241,3891241,3891341,3891342,3891342,3891442,3891442,3891443,3891443,3891443,3891543,3891543,3891543,3891543,3891544,3891544,3891544,3891544,3891644,3891644,3891645,3891645,3891645,3891645,3891645,3891745,3891746,3891746,3891746,3891846,3891846,3891847,3891503,3891604,3891604,3891608,3891704,3891704,3891705,3891712,3891805,3891812,3891905,3892007,3892108
3889768,3891356,3891456,3891457,3891557,3891658,3891760,3891860,3891862,3891961,3891965,3892067,3892168,3892168,3892268,3892268,3892268,3891429,3891530,3891631,3891819,3891819,3891819,3891820,3891833,3891919,3891919,3891920,3891920,3891933,3891934,3892020,3892020,3892021,3892021,3892121,3892121,3892122,3892222,3892223,3892322,3892322,3892323,3892324,3892328,3891485,3891489,3891591,3891690,3892281,3891745
3889951,3891647,3891747,3891849,3891950,3892008,3892008,3892013,3892109,3892109,3892111,3892113,3892113,3892209,3892210,3892210,3892212,3892213,3892213,3892310,3892310,3892311,3892312,3892312,3892315,3892315,3892411,3892411,3892411,3892412,3892412,3892413,3891480,3891572,3891572,3891573,3891573,3891575,3891575,3891581,3891673,3891673,3891674,3891674,3892473,3891543,3891634,3891643,3891643,3891735,3891735
3890125,3891766,3891865,3891866,3891966,3891967,3892068,3892068,3892169,3892269,3892370,3892371,3891531,3891531,3891531,3891632,3891732,3891832,3891833,3891833,3891933,3891933,3891933,3892035,3892128,3892128,3892137,3892228,3892228,3892234,3892240,3892329,3892330,3892330,3892330,3892330,3892429,3892429,3892430,3892431,3891591,3891793,3891793,3891893,3891893,3891894,3892491,3891652,3891665,3891752,3891853
3890227,3892057,3892158,3892159,3892258,3892259,3892260,3892360,3892360,3892362,3892460,3892460,3892460,3892463,3891621,3892419,3892420,3892519,3892520,3892520,3891680,3891680,3891681,3891681,3891683,3891683,3891689,3891782,3891782,3891782,3891782,3891783,3891783,3891783,3891784,3891787,3891790,3891882,3891882,3891882,3891882,3891883,3891885,3891888,3891904,3891982,3891983,3891983,3891984,3891842,3891942
3890428,3892184,3892284,3892285,3892385,3892385,3892486,3892486,3891647,3891647,3891648,3891747,3891748,3891751,3891752,3891848,3891849,3891852,3891853,3891853,3891949,3891949,3891949,3891953,3891953,3891954,3891954,3892054,3892055,3892057,3892155,3892156,3892256,3891706,3891807,3891808,3891908,3891909,3891910,3892008,3892008,3892108,3892109,3892110,3892110,3892114,3892211,3892212,3892214,3892312,3892315
3889917,3892275,3892375,3892375,3892477,3892478,3892578,3892578,3892582,3891739,3891739,3891739,3891839,3891840,3891940,3892041,3892042,3892142,3892143,3892143,3892243,3892243,3892243,3892244,3892244,3892343,3892343,3892344,3892344,3892344,3892344,3892346,3892444,3892445,3892445,3892445,3892445,3892446,3892446,3892446,3892546,3892546,3892546,3892571,3892646,3892646,3892647,3891900,3892102,3892202,3892304
