Total:,613
0,600
1,600
2,600
3,600
4,600
5,600
6,600
7,600
8,600
9,600
10,13
11,600
12,600
13,600
14,600
15,600
16,600
17,600
18,600
19,600
20,600
21,600
22,600
23,600
24,600
25,600
26,600
27,600
28,600
29,600
30,600
31,600
32,600
33,600
34,600
35,600
36,600
37,600
38,600
39,600
40,600
41,600
42,600
43,600
44,600
45,600
46,600
47,600
48,600
49,600
Total:,611
0,611
1,611
2,611
3,611
4,611
5,611
6,611
7,611
8,611
9,611
10,611
11,611
12,611
13,611
14,611
15,611
16,611
17,611
18,611
19,611
20,611
21,611
22,611
23,611
24,611
25,611
26,611
27,611
28,611
29,611
30,611
31,611
32,611
33,611
34,611
35,611
36,611
37,611
38,611
39,611
40,611
41,611
42,611
43,611
44,611
45,611
46,611
47,611
48,611
49,611
Total:,615
0,615
1,615
2,615
3,615
4,615
5,615
6,615
7,615
8,615
9,615
10,615
11,615
12,615
13,615
14,615
15,615
16,615
17,615
18,615
19,615
20,615
21,615
22,615
23,615
24,615
25,615
26,615
27,615
28,615
29,615
30,615
31,615
32,615
33,615
34,615
35,615
36,615
37,615
38,615
39,615
40,615
41,615
42,615
43,615
44,615
45,615
46,615
47,615
48,615
49,615
Total:,613
0,600
1,600
2,600
3,600
4,600
5,600
6,600
7,600
8,600
9,600
10,13
11,600
12,600
13,600
14,600
15,600
16,600
17,600
18,600
19,600
20,600
21,600
22,600
23,600
24,600
25,600
26,600
27,600
28,600
29,600
30,600
31,600
32,600
33,600
34,600
35,600
36,600
37,600
38,600
39,600
40,600
41,600
42,600
43,600
44,600
45,600
46,600
47,600
48,600
49,600
Total:,611
0,611
1,611
2,611
3,611
4,611
5,611
6,611
7,611
8,611
9,611
10,611
11,611
12,611
13,611
14,611
15,611
16,611
17,611
18,611
19,611
20,611
21,611
22,611
23,611
24,611
25,611
26,611
27,611
28,611
29,611
30,611
31,611
32,611
33,611
34,611
35,611
36,611
37,611
38,611
39,611
40,611
41,611
42,611
43,611
44,611
45,611
46,611
47,611
48,611
49,611
Total:,615
0,615
1,615
2,615
3,615
4,615
5,615
6,615
7,615
8,615
9,615
10,615
11,615
12,615
13,615
14,615
15,615
16,615
17,615
18,615
19,615
20,615
21,615
22,615
23,615
24,615
25,615
26,615
27,615
28,615
29,615
30,615
31,615
32,615
33,615
34,615
35,615
36,615
37,615
38,615
39,615
40,615
41,615
42,615
43,615
44,615
45,615
46,615
47,615
48,615
49,615
